Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2018-2019,1974,Brookings-Harbor SD 17C,235,Azalea Middle School,English Language Arts,Military-connected,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,235,Azalea Middle School,English Language Arts,Total Population (All Students),Grade 6,48,43.2,12,10.8,36,32.4,29,26.1,34,30.6,111,96.5
2018-2019,1974,Brookings-Harbor SD 17C,235,Azalea Middle School,English Language Arts,Total Population (All Students),Grade 7,31,27.4,10,8.8,21,18.6,24,21.2,58,51.3,113,95
2018-2019,1974,Brookings-Harbor SD 17C,235,Azalea Middle School,English Language Arts,Total Population (All Students),Grade 8,52,50.5,15,14.6,37,35.9,24,23.3,27,26.2,103,99
2018-2019,1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,English Language Arts,Econo. Disadvantaged,Grade HS (11),28,56,14,28,14,28,12,24,10,20,50,96.2
2018-2019,1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,English Language Arts,Homeless,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,English Language Arts,Military-connected,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1974,Brookings-Harbor SD 17C,237,Brookings-Harbor High School,English Language Arts,Total Population (All Students),Grade HS (11),61,60.4,34,33.7,27,26.7,22,21.8,18,17.8,101,96.2
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Econo. Disadvantaged,Grade 3,58,41.7,23,16.5,35,25.2,34,24.5,47,33.8,139,95.9
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,48,47.1,22,21.6,26,25.5,23,22.5,31,30.4,102,93.6
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,48,43.6,19,17.3,29,26.4,19,17.3,43,39.1,111,93.3
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Military-connected,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Military-connected,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Military-connected,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Total Population (All Students),Grade 3,58,41.7,23,16.5,35,25.2,34,24.5,47,33.8,139,95.9
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Total Population (All Students),Grade 4,48,47.1,22,21.6,26,25.5,23,22.5,31,30.4,102,93.6
2018-2019,1974,Brookings-Harbor SD 17C,236,Kalmiopsis Elementary School,English Language Arts,Total Population (All Students),Grade 5,48,43.6,19,17.3,29,26.4,19,17.3,43,39.1,111,93.3
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Econo. Disadvantaged,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Homeless,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Military-connected,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1896,Burnt River SD 30J,3347,Burnt River School,English Language Arts,Total Population (All Students),Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade 3,13,54.2,4,16.7,9,37.5,5,20.8,6,25,24,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade 4,7,38.9,2,11.1,5,27.8,6,33.3,5,27.8,18,94.7
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade 5,6,35.3,1,5.9,5,29.4,6,35.3,5,29.4,17,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade 6,6,28.6,0,0,6,28.6,9,42.9,6,28.6,21,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade 7,4,33.3,0,0,4,33.3,2,16.7,6,50,12,92.3
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade 8,4,22.2,3,16.7,1,5.6,7,38.9,7,38.9,18,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Econo. Disadvantaged,Grade HS (11),12,66.7,7,38.9,5,27.8,5,27.8,1,5.6,18,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Homeless,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Military-connected,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade 3,13,54.2,4,16.7,9,37.5,5,20.8,6,25,24,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade 4,7,38.9,2,11.1,5,27.8,6,33.3,5,27.8,18,94.7
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade 5,6,35.3,1,5.9,5,29.4,6,35.3,5,29.4,17,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade 6,6,28.6,0,0,6,28.6,9,42.9,6,28.6,21,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade 7,4,33.3,0,0,4,33.3,2,16.7,6,50,12,92.3
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade 8,4,22.2,3,16.7,1,5.6,7,38.9,7,38.9,18,100
2018-2019,2046,Butte Falls SD 91,406,Butte Falls Charter School,English Language Arts,Total Population (All Students),Grade HS (11),12,66.7,7,38.9,5,27.8,5,27.8,1,5.6,18,100
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade 4,1,7.1,1,7.1,0,0,4,28.6,9,64.3,14,93.3
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade 5,4,36.4,1,9.1,3,27.3,3,27.3,4,36.4,11,100
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade 7,5,45.5,1,9.1,4,36.4,4,36.4,2,18.2,11,100
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Econo. Disadvantaged,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Homeless,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Military-connected,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade 4,4,19,3,14.3,1,4.8,5,23.8,12,57.1,21,95.5
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade 5,8,42.1,2,10.5,6,31.6,6,31.6,5,26.3,19,100
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade 6,10,58.8,4,23.5,6,35.3,6,35.3,1,5.9,17,89.5
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade 7,10,58.8,3,17.6,7,41.2,4,23.5,3,17.6,17,89.5
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade 8,7,43.8,1,6.3,6,37.5,6,37.5,3,18.8,16,100
2018-2019,1995,Camas Valley SD 21J,3400,Camas Valley School,English Language Arts,Total Population (All Students),Grade HS (11),9,81.8,3,27.3,6,54.5,2,18.2,0,0,11,78.6
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Econo. Disadvantaged,Grade 7,36,28.1,4,3.1,32,25,42,32.8,50,39.1,129,91.5
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Econo. Disadvantaged,Grade 8,26,22,5,4.2,21,17.8,48,40.7,44,37.3,118,77.1
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Homeless,Grade 7,3,17.6,0,0,3,17.6,5,29.4,9,52.9,18,100
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Homeless,Grade 8,3,18.8,0,0,3,18.8,7,43.8,6,37.5,16,94.1
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Military-connected,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Total Population (All Students),Grade 7,104,40.2,34,13.1,70,27,68,26.3,87,33.6,260,85.5
2018-2019,1929,Canby SD 86,4434,Baker Prairie Middle School,English Language Arts,Total Population (All Students),Grade 8,80,37.7,21,9.9,59,27.8,66,31.1,66,31.1,212,71.4
2018-2019,1929,Canby SD 86,140,Canby High School,English Language Arts,Econo. Disadvantaged,Grade HS (11),55,44.7,12,9.8,43,35,38,30.9,30,24.4,123,91.8
2018-2019,1929,Canby SD 86,140,Canby High School,English Language Arts,Homeless,Grade HS (11),3,25,1,8.3,2,16.7,3,25,6,50,12,80
2018-2019,1929,Canby SD 86,140,Canby High School,English Language Arts,Military-connected,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,140,Canby High School,English Language Arts,Total Population (All Students),Grade HS (11),181,60.7,78,26.2,103,34.6,72,24.2,45,15.1,298,87.4
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Econo. Disadvantaged,Grade 3,18,51.4,8,22.9,10,28.6,10,28.6,7,20,36,94.7
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Econo. Disadvantaged,Grade 4,10,33.3,3,10,7,23.3,4,13.3,16,53.3,30,96.8
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Econo. Disadvantaged,Grade 5,6,27.3,0,0,6,27.3,8,36.4,8,36.4,22,68.8
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Econo. Disadvantaged,Grade 6,2,11.1,1,5.6,1,5.6,3,16.7,13,72.2,18,64.3
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Total Population (All Students),Grade 3,38,52.8,20,27.8,18,25,20,27.8,14,19.4,73,92.4
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Total Population (All Students),Grade 4,24,44.4,10,18.5,14,25.9,10,18.5,20,37,54,94.7
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Total Population (All Students),Grade 5,15,30.6,5,10.2,10,20.4,16,32.7,18,36.7,49,60.5
2018-2019,1929,Canby SD 86,92,Carus School,English Language Arts,Total Population (All Students),Grade 6,10,25,1,2.5,9,22.5,7,17.5,23,57.5,40,56.3
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Econo. Disadvantaged,Grade 3,8,22.2,2,5.6,6,16.7,12,33.3,16,44.4,37,100
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,4,14.3,3,10.7,1,3.6,9,32.1,15,53.6,28,90.3
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,8,21.6,1,2.7,7,18.9,6,16.2,23,62.2,39,88.6
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Econo. Disadvantaged,Grade 6,13,30.2,2,4.7,11,25.6,15,34.9,15,34.9,43,91.5
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Total Population (All Students),Grade 3,24,44.4,9,16.7,15,27.8,13,24.1,17,31.5,55,96.5
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Total Population (All Students),Grade 4,8,23.5,5,14.7,3,8.8,11,32.4,15,44.1,34,77.3
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Total Population (All Students),Grade 5,17,34.7,7,14.3,10,20.4,7,14.3,25,51,51,86.4
2018-2019,1929,Canby SD 86,1307,Cecile Trost Elementary School,English Language Arts,Total Population (All Students),Grade 6,21,38.9,4,7.4,17,31.5,16,29.6,17,31.5,54,87.1
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Econo. Disadvantaged,Grade 3,13,65,4,20,9,45,4,20,3,15,20,90.9
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,8,34.8,3,13,5,21.7,8,34.8,7,30.4,23,92
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,14,66.7,7,33.3,7,33.3,4,19,3,14.3,21,91.3
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Econo. Disadvantaged,Grade 6,10,47.6,3,14.3,7,33.3,7,33.3,4,19,21,95.5
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Military-connected,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Military-connected,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Total Population (All Students),Grade 3,31,64.6,14,29.2,17,35.4,9,18.8,8,16.7,48,94.1
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Total Population (All Students),Grade 4,38,55.9,16,23.5,22,32.4,18,26.5,12,17.6,68,89.5
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Total Population (All Students),Grade 5,49,83.1,28,47.5,21,35.6,7,11.9,3,5.1,59,93.7
2018-2019,1929,Canby SD 86,124,Howard Eccles Elementary School,English Language Arts,Total Population (All Students),Grade 6,41,68.3,15,25,26,43.3,14,23.3,5,8.3,60,95.2
2018-2019,1929,Canby SD 86,127,Ninety-One School,English Language Arts,Econo. Disadvantaged,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1929,Canby SD 86,127,Ninety-One School,English Language Arts,Econo. Disadvantaged,Grade 4,5,26.3,2,10.5,3,15.8,4,21.1,10,52.6,19,95
2018-2019,1929,Canby SD 86,127,Ninety-One School,English Language Arts,Econo. Disadvantaged,Grade 5,13,68.4,4,21.1,9,47.4,2,10.5,4,21.1,19,90.5
2018-2019,1929,Canby SD 86,127,Ninety-One School,English Language Arts,Econo. Disadvantaged,Grade 6,6,28.6,2,9.5,4,19,8,38.1,7,33.3,21,95.5
2018-2019,1929,Canby SD 86,127,Ninety-One School,English Language Arts,Econo. Disadvantaged,Grade 7,9,69.2,2,15.4,7,53.8,3,23.1,1,7.7,13,81.3
2018-2019,1929,Canby SD 86,127,Ninety-One School,English Language Arts,Econo. Disadvantaged,Grade 8,13,54.2,4,16.7,9,37.5,7,29.2,4,16.7,24,100
